Time_min,Yield_ppm_100C,Yield_ppm_120C,Yield_ppm_140C,,C0,F
0,0,0,0,,533.4,Estimated
5,196.96,214.45,256.27,,,
7.5,275.29,292.78,345.25,,,
10,328.90,347.53,403.80,,,
12.5,364.26,383.27,442.59,,,
15,390.11,407.60,468.44,,,
17.5,414.45,425.86,484.41,,,
20,432.70,441.83,493.54,,,
